Date,Close
2018-06-01,48.77
2018-06-04,49.08
2018-06-05,48.72
2018-06-06,49.35
2018-06-07,49.32
2018-06-08,49.38
2018-06-11,49.29
2018-06-12,49.26
2018-06-13,49.3
2018-06-14,49.16
2018-06-15,48.51
2018-06-18,48.51
2018-06-19,48.09
2018-06-20,48.25
2018-06-21,47.42
2018-06-22,47.95
2018-06-25,47.16
2018-06-26,47.5
2018-06-27,46.57
2018-06-28,46.94
2018-06-29,47.14
2018-07-02,46.52
2018-07-03,46.73
2018-07-05,47.11
2018-07-06,47.14
2018-07-09,47.85
2018-07-10,47.45
2018-07-11,46.77
2018-07-12,47.55
2018-07-13,47.44
2018-07-16,47.5
2018-07-17,47.04
2018-07-18,47.43
2018-07-19,47.14
2018-07-20,47.38
2018-07-23,47.79
2018-07-24,48.41
2018-07-25,48.5
2018-07-26,48.04
2018-07-27,48.21
2018-07-30,48.17
2018-07-31,48.42
2018-08-01,47.41
2018-08-02,46.61
2018-08-03,47.19
2018-08-06,46.42
2018-08-07,46.74
2018-08-08,47.15
2018-08-09,46.97
2018-08-10,46.39
2018-08-13,45.99
2018-08-14,46.02
2018-08-15,45.27
2018-08-16,45.08
2018-08-17,44.92
2018-08-20,45.05
2018-08-21,45.09
2018-08-22,45.19
2018-08-23,44.48
2018-08-24,44.52
2018-08-27,45.33
2018-08-28,44.91
2018-08-29,45.09
2018-08-30,44.34
2018-08-31,44.01
2018-09-04,44.1
2018-09-05,43.78
2018-09-06,43.3
2018-09-07,42.82
2018-09-10,42.91
2018-09-11,42.81
2018-09-12,42.93
2018-09-13,43.61
2018-09-14,43.55
2018-09-17,43.53
2018-09-18,43.29
2018-09-19,44.19
2018-09-20,44.79
2018-09-21,44.92
2018-09-24,44.65
2018-09-25,44.76
2018-09-26,44.9
2018-09-27,44.88
2018-09-28,43.99
2018-10-01,44.11
2018-10-02,43.6
2018-10-03,44.16
2018-10-04,44.2
2018-10-05,43.82
2018-10-08,43.56
2018-10-09,43.5
2018-10-10,43.17
2018-10-11,41.78
2018-10-12,41.98
2018-10-15,41.76
2018-10-16,41.73
2018-10-17,41.53
2018-10-18,40.15
2018-10-19,40.46
2018-10-22,40.35
2018-10-23,39.4
2018-10-24,38.57
2018-10-25,39.14
2018-10-26,38.66
2018-10-29,40.18
2018-10-30,40.67
2018-10-31,41.09
2018-11-01,41.56
2018-11-02,41.96
2018-11-05,41.7
2018-11-06,41.79
2018-11-07,42.28
2018-11-08,41.93
2018-11-09,41.23
2018-11-12,40.88
2018-11-13,41.79
2018-11-14,41.77
2018-11-15,42.4
2018-11-16,42.24
2018-11-19,41.91
2018-11-20,41.05
2018-11-21,41.87
2018-11-23,41.74
2018-11-26,43.17
2018-11-27,42.85
2018-11-28,43.27
2018-11-29,42.81
2018-11-30,42.54
2018-12-03,43.47
2018-12-04,42.55
2018-12-06,41.01
2018-12-07,40.85
2018-12-10,40.41
2018-12-11,40.26
2018-12-12,41.35
2018-12-13,41.32
2018-12-14,40.9
2018-12-17,40.7
2018-12-18,40.79
2018-12-19,40.34
2018-12-20,40.98
2018-12-21,40.56
2018-12-24,40.37
2018-12-26,41.23
2018-12-27,40.7
2018-12-28,41.07
2018-12-31,41.11
2019-01-02,40.88
2019-01-03,40.43
2019-01-04,41.61
2019-01-07,41.05
2019-01-08,41.16
2019-01-09,41.44
2019-01-10,41.53
2019-01-11,41.42
2019-01-14,40.98
2019-01-15,41.22
2019-01-16,41.54
2019-01-17,41.49
2019-01-18,41.92
2019-01-22,41.38
2019-01-23,41.64
2019-01-24,41.41
2019-01-25,41.86
2019-01-28,41.62
2019-01-29,42.08
2019-01-30,42.48
2019-01-31,42.13
2019-02-01,41.71
2019-02-04,41.97
2019-02-05,42.34
2019-02-06,42.1
2019-02-07,41.82
2019-02-08,41.75
2019-02-11,41.68
2019-02-12,42.1
2019-02-13,42.33
2019-02-14,42.37
2019-02-15,42.8
2019-02-19,41.52
2019-02-20,42.13
2019-02-21,40.81
2019-02-22,40.71
2019-02-25,40.59
2019-02-26,40.76
2019-02-27,41.13
2019-02-28,40.83
2019-03-01,40.61
2019-03-04,40.68
2019-03-05,41
2019-03-06,40.97
2019-03-07,40.87
2019-03-08,40.87
2019-03-11,41.01
2019-03-12,41.07
2019-03-13,41.12
2019-03-14,41.14
2019-03-15,41.41
2019-03-18,41.53
2019-03-19,41.38
2019-03-20,41.21
2019-03-21,41.07
2019-03-22,40.42
2019-03-25,40.43
2019-03-26,40.58
2019-03-27,40.65
2019-03-28,40.51
2019-03-29,40.58
2019-04-01,41.76
2019-04-02,42.15
2019-04-03,42.55
2019-04-04,42.3
2019-04-05,42.48
2019-04-08,42.56
2019-04-09,42.63
2019-04-10,42.54
2019-04-11,42.59
2019-04-12,43.04
2019-04-15,42.89
2019-04-16,43.33
2019-04-17,43.46
2019-04-18,43.25
2019-04-22,43.22
2019-04-23,43.15
2019-04-24,42.83
2019-04-25,42.76
2019-04-26,43.07
2019-04-29,43.3
2019-04-30,43.57
2019-05-01,43.2
2019-05-02,43.47
2019-05-03,44.7
2019-05-06,43.79
2019-05-07,43.15
2019-05-08,42.84
2019-05-09,42.78
2019-05-10,42.86
2019-05-13,42.07
2019-05-14,42.15
2019-05-15,42.56
2019-05-16,42.23
2019-05-17,41.61
2019-05-20,41.42
2019-05-21,41.68
2019-05-22,41.7
2019-05-23,41.81
2019-05-24,42
2019-05-28,41.56
2019-05-29,41.56
2019-05-30,41.29
